id,precipitation_nextday
1,0.9994818577067197
2,0.9999977019583058
3,0.9164730993010798
4,0.017444218688485835
5,0.9994920876914378
6,0.026151520063494235
7,0.0007840395900144204
8,0.9999999973618501
9,0.002130556093326115
10,0.0012345490747126017
11,0.23331649655786768
12,7.69955242321173e-9
13,0.0001515464881624956
14,2.0410206966603713e-8
15,0.9999996941643383
16,0.007963115587260122
17,2.0141791465602618e-10
18,0.9380857476560988
19,8.030540959731852e-7
20,0.990367830877578
21,0.9998931094745745
22,8.111379161792571e-7
23,3.870971045922556e-5
24,0.14405515114168319
25,0.003367863865050862
26,1.1376698510555198e-6
27,0.9969479619990085
28,0.796804396543017
29,0.9999991722311847
30,7.091015705113894e-7
31,8.391736077327969e-5
32,8.399865732425929e-7
33,3.9583300964818553e-7
34,0.33528012436593224
35,2.3910743752293876e-7
36,0.9998457668273157
37,0.03100637566201965
38,0.9990906571747491
39,1.7577076857496314e-5
40,0.998838946432029
41,0.9992132665231661
42,2.6741753761197613e-6
43,0.9999999320672313
44,3.356189084770532e-9
45,0.9999994708256119
46,0.9999919465347045
47,3.4300004494502764e-6
48,8.58200355222962e-6
49,0.9999986191320017
50,0.999974156427549
51,0.00021153259676228708
52,0.0018609359659269174
53,7.480513993301258e-7
54,8.081704963448245e-5
55,0.006584793799361896
56,0.9831365925757067
57,2.366498161139929e-5
58,0.00967880638378517
59,3.3809130202658336e-6
60,0.9999498662523411
61,2.2010961481181877e-5
62,0.9999937760213331
63,3.7744292239449345e-5
64,0.8842030800064826
65,3.3576261331476756e-6
66,0.9994036112903032
67,0.9943034729775518
68,2.149257139031291e-6
69,0.0001707426091899774
70,0.2728237654100394
71,0.000399969677461298
72,0.9994914585903092
73,0.12172738209905465
74,0.9980148614228193
75,0.9999334733850817
76,0.07523078422878861
77,0.010696370614496036
78,1.4094970407865445e-5
79,1.529017316902341e-5
80,0.9999997764867334
81,0.5176364649927611
82,3.619439746686404e-7
83,0.9999714632141917
84,0.7534807316044511
85,0.9340705643997141
86,0.004296569372334488
87,0.0031725605813566755
88,8.371277195525461e-8
89,0.9832950227305026
90,0.20224758007529423
91,0.9999999853368826
92,0.0806085137793004
93,0.00029289431313742634
94,0.996523982180658
95,0.0059142954293257685
96,0.9999989218527461
97,0.008262727421364404
98,2.4827448108848486e-7
99,0.0263877274961231
100,0.3006493246945947
101,0.9981245915227871
102,0.9949365311098415
103,0.999999960337915
104,6.163348141762113e-7
105,0.9999899300849107
106,0.9999465586225035
107,0.43142962737481616
108,0.03447417784812139
109,0.999999985693711
110,0.9602166297213168
111,0.0015366565969008703
112,0.006378202373617436
113,0.9948670556286832
114,0.9982896274778822
115,1.0991935796357955e-7
116,5.433252285121907e-7
117,0.9993056473277236
118,0.004110771525069486
119,0.9975656645090133
