id,precipitation_nextday
1,0.9730445595168165
2,0.9860801176743886
3,0.799980053018516
4,0.16447726942313398
5,0.9819125834567756
6,0.1944153024875694
7,0.05983210930621328
8,0.9990615464357546
9,0.2775422872113781
10,0.0035865714530614085
11,0.04069572669209436
12,0.001305337404933477
13,0.0015524525572786396
14,0.0003375088592900057
15,0.994521159164634
16,0.008610611610484058
17,0.0009173587291293722
18,0.9005617021729899
19,0.005533936876185438
20,0.908135063823693
21,0.989334032147598
22,0.0025812397168962628
23,0.002176216678333038
24,0.26343399898198194
25,0.0006145967913540859
26,0.024332508316073885
27,0.9590298993678535
28,0.12803089141333437
29,0.9908235476529471
30,0.001139126350175446
31,0.03245616286920243
32,0.0028900345367348893
33,0.0034624765448747277
34,0.003942315930095906
35,0.002522181990722225
36,0.9987947308944181
37,0.01993932204881186
38,0.8947080058020365
39,0.265301985408763
40,0.9821396196683388
41,0.9968343027087543
42,0.001804448437234646
43,0.9981750897075522
44,0.0013612831978623919
45,0.9996028471905136
46,0.9981766773227464
47,0.005626067797239219
48,0.01702413591390485
49,0.9550645293171665
50,0.8274540264715148
51,0.004736117573116375
52,0.048007865577867785
53,0.013721659592844576
54,0.0005136515914075141
55,0.10719056835505447
56,0.7712995295798427
57,0.008862646045218726
58,0.07280480243781817
59,0.021202894014510275
60,0.9544068057842909
61,0.024879220776238088
62,0.9963483206750184
63,0.0011602507616275196
64,0.9005653512827847
65,0.0054543081941517075
66,0.9638942028189122
67,0.6698587266827107
68,0.0010147712403355516
69,0.010377555042700558
70,0.7102326748869927
71,0.07208032057720422
72,0.8967969822256447
73,0.7702818644232975
74,0.720687307401578
75,0.998949002709622
76,0.40020718755019763
77,0.011803616832715757
78,0.0024534602620421716
79,0.03468782807347182
80,0.9971896163295599
81,0.4874032302293892
82,0.004185876926847297
83,0.9901395454596621
84,0.2503462334842802
85,0.3310756844096624
86,0.08741308864472756
87,0.6350255600163128
88,0.006304502468383292
89,0.6046587086610848
90,0.03589058182685827
91,0.9984213992465848
92,0.057219218336087195
93,0.07023553104386387
94,0.9078261014480553
95,0.006976492942699836
96,0.9993463050691892
97,0.012840464164857414
98,0.002694545408851269
99,0.5962179090158152
100,0.13488777352981787
101,0.9899795964452188
102,0.9211906881376518
103,0.9849341295944036
104,0.003926830507640656
105,0.9873013291205648
106,0.9960361928811823
107,0.04253437038123715
108,0.36018984460512743
109,0.9987363509392987
110,0.034871422873779936
111,0.01814902909474827
112,0.22073341021226814
113,0.6139320291538384
114,0.9552554446669522
115,0.06646192520984757
116,0.0011508723709349993
117,0.9507601551653031
118,0.07413468108494717
119,0.8482112307085268
120,0.9769480853332642
121,0.8230794939658298
122,0.9943822809332467
123,0.5978076542828082
124,0.6874664299014905
125,0.7830284588202365
126,0.00443359901976111
127,0.013012433717735711
128,0.22186079588920646
129,0.09551565107141909
130,0.8906829665793342
131,0.053286766048735265
132,0.0012203717407943447
133,0.34996699489412747
134,0.0020275541181713147
135,0.24777089299631594
136,0.08881614665191526
137,0.0024016562635831846
138,0.987579035580776
139,0.1803697076477687
140,0.9927300194622204
141,0.9327386928482247
142,0.022622300131566
143,0.5987564886457032
144,0.9434523739379372
145,0.9998771798544868
146,0.00869551376256459
147,0.09400072429992118
148,0.8545898016094897
149,0.7566178674968504
150,0.9956073447384692
151,0.5707387501669133
152,0.6853450735071592
153,0.9899451857346051
154,1.695353444482092e-5
155,0.999555064229769
156,0.031934548097221925
157,0.4304616276035087
158,0.906891815839199
159,0.006100553698691096
160,0.9044581325804403
161,0.38316664749806045
162,0.005339517019852788
163,0.0010464437804658115
164,0.9215955097532237
165,0.22604989443595835
166,0.851768128799797
167,0.9792214032794951
168,0.7320335159915422
169,0.9469138813149267
170,0.00020252701161659848
171,0.03782839560267975
172,0.04594665778105606
173,0.021482883432117936
174,0.8017726336523028
175,0.9924464583832147
176,0.5248233903411905
177,0.12962399670816296
178,0.9988389271836472
179,0.0020971011314015013
180,0.9896451460180353
181,0.044597809318336776
182,0.4430635959149649
183,0.40385991698653295
184,0.009812984299576933
185,0.9961770056823652
186,0.05249503604141569
187,0.9651052267978874
188,0.1307678722530875
189,0.0034196625643668414
190,0.928882913842061
191,0.07484910315788067
192,0.022616041341848837
193,0.03214886496396271
194,0.7939027222283016
195,0.9664192898299458
196,0.9132042309717348
197,0.19602351238323196
198,0.6398621060401853
199,0.026725457480549365
200,0.015673435854494596
201,0.11210145283216144
202,0.12992248005507845
203,0.9441706830232859
204,0.9996078239720797
205,0.006100174563824211
206,0.08701156972843893
207,0.0005791504406738682
208,0.9961615190640835
209,0.8797957571749226
210,0.005498109968709912
211,0.09270798172096043
212,0.8154869928832723
213,0.5518466544973694
214,0.1222624833067214
215,0.11603695397329052
216,0.00013078490726474388
217,0.9728870294663838
218,0.3733966182091868
219,0.8490449336998929
220,0.8436109794392119
221,0.0019915437901511226
222,0.7680213084667045
223,0.0064974856084265694
224,0.00010269631755859142
225,0.4843840474333715
226,0.7309580186860133
227,0.3281548194859534
228,0.9987594514510161
229,0.07751800140282782
230,0.009358497555701378
231,0.7795408137139465
232,0.8593096804361526
233,0.9910485749049215
234,0.8329566723641707
235,0.708441292483035
236,0.09224782843175529
237,0.000402530104620579
238,0.0011059932346262752
239,0.4098931457746267
240,0.9650752611140425
241,0.9984887870634795
242,0.9802880060735563
243,0.6733205397147015
244,0.7832601395884726
245,0.0026028874227602833
246,0.9958612232689645
247,0.876167805557491
248,0.5626117350691593
249,0.08863534476899705
250,0.9997774515805592
251,0.17054901044994805
252,0.017079801010664676
253,0.023018743708491527
254,0.03107076067590275
255,0.9897976233459578
256,0.0027175265060091548
257,0.6554886172839673
258,0.5064187846165561
259,0.981309630656894
260,0.0043190739188890435
261,0.036278759954781255
262,0.9835650646057913
263,0.09163422608919591
264,0.026301633408308697
265,0.04718764415245318
266,0.9880574632075545
267,0.01383547479016453
268,0.003309589705325019
269,0.9931366090978484
270,0.8890569282075592
271,0.05075053032110445
272,4.119274660885461e-5
