id,precipitation_nextday
1,0.9998622
2,0.94886285
3,0.99259126
4,0.0018735112
5,0.9964425
6,0.14432368
7,7.9372636e-5
8,0.99997973
9,0.27408084
10,0.00046460042
11,0.015260476
12,4.67875e-5
13,1.8251234e-5
14,8.077913e-6
15,0.9987864
16,0.0033490686
17,0.0024772743
18,0.30431563
19,4.9089478e-5
20,0.9863929
21,0.8635172
22,0.000257078
23,0.0015895457
24,0.050479602
25,0.00024075324
26,0.0032873033
27,0.9268457
28,0.001318234
29,0.9929052
30,4.9758046e-6
31,0.0021152988
32,0.00021235173
33,6.957151e-5
34,0.013518814
35,0.000122047095
36,0.9992926
37,0.00054477167
38,0.98978347
39,0.0005070758
40,0.99981195
41,0.9904822
42,0.001095774
43,0.9999653
44,0.021941166
45,0.9985318
46,0.98232436
47,0.0017508474
48,0.043472704
49,0.99964905
50,0.9978204
51,4.724766e-5
52,0.003973185
53,0.0027976844
54,0.0008637115
55,0.0007501803
56,0.9050504
57,0.0026506972
58,0.00016992976
59,0.0017266956
60,0.99463165
61,0.056502804
62,0.9998223
63,0.00075141375
64,0.7240702
65,0.0046379548
66,0.9837916
67,0.3964108
68,0.00058048
69,0.058994804
70,0.98347026
71,0.35589918
72,0.9963433
73,0.9878357
74,0.963206
75,0.99991834
76,0.0062856115
77,0.001409804
78,0.000110003304
79,0.0020791623
80,0.99455833
81,0.7162528
82,4.217391e-5
83,0.98977447
84,0.4388459
85,0.19149415
86,0.012027641
87,0.4253866
88,0.0958315
89,0.0995155
90,0.067840464
91,0.999845
92,0.006844449
93,0.000115506446
94,0.28964376
95,5.7462235e-5
96,0.9997532
97,0.3769835
98,0.006662244
99,0.45784277
100,0.0033748748
101,0.9998722
102,0.9832876
103,0.9939638
104,0.0017842903
105,0.79751945
106,0.9999049
107,0.24165684
108,0.27147025
109,0.99846506
110,0.0047220923
111,0.18364052
112,0.006884654
113,0.99985003
114,0.99372214
115,0.2730966
116,0.00019702828
117,0.995972
118,4.6980647e-5
119,0.7435966
120,0.99983454
121,0.8178345
122,0.99861753
123,0.23609759
124,0.27962562
125,0.024967827
126,0.00043213626
127,0.0006721792
128,0.07083522
129,0.008942978
130,0.9992311
131,0.00027691908
132,0.002763728
133,0.039371863
134,0.00028730158
135,0.0065637147
136,0.9508052
137,0.0049593686
138,0.99746513
139,0.054181658
140,0.97100765
141,0.9748573
142,0.0012474201
143,0.9899742
144,0.9984493
145,0.9974567
146,0.00020292039
147,0.000198881
148,0.85854423
149,0.04024481
150,0.99910057
151,0.025700158
152,0.8947385
153,0.99000996
154,7.600312e-5
155,0.9995701
156,0.001816453
157,0.64307475
158,0.063894495
159,2.9193368e-5
160,0.90376264
161,0.9867583
162,0.00080917747
163,0.00010774408
164,0.9897389
165,0.015966566
166,0.9951074
167,0.9996654
168,0.4355491
169,0.9975095
170,3.699785e-5
171,0.0009371985
172,0.092166945
173,7.975838e-5
174,0.9997002
175,0.9999174
176,0.25546092
177,0.12653494
178,0.99846494
179,0.00048951776
180,0.99488974
181,0.008577367
182,0.83338106
183,0.07130215
184,9.714699e-5
185,0.9986802
186,0.00042316667
187,0.9969638
188,0.0013894625
189,0.0004906055
190,0.9673195
191,0.37053537
192,0.5084792
193,0.0005831326
194,0.9728301
195,0.9710416
196,0.9250947
197,8.6491644e-5
198,0.9908332
199,0.00033681068
200,0.0006479202
201,0.017990518
202,0.00016707265
203,0.92195886
204,0.9979564
205,0.00026780178
206,0.99268746
207,0.0018639864
208,0.9996736
209,0.9805988
210,0.0021737868
211,0.3242861
212,0.99469876
213,0.019095737
214,0.02494266
215,0.009992519
216,0.0009006912
217,0.94743687
218,0.79903686
219,0.14134158
220,0.98720354
221,0.00024507233
222,0.019006466
223,0.0005512444
224,2.9707006e-5
225,0.6143826
226,0.94591767
227,0.8791645
228,0.993555
229,0.89415306
230,0.010122893
231,0.98883367
232,0.41531807
233,0.9997584
234,0.99930656
235,0.95079917
236,0.023885395
237,0.00015722339
238,0.06460437
239,0.14766799
240,0.9020446
241,0.99954
242,0.9845153
243,0.9677077
244,0.9995455
245,0.00018679573
246,0.9518487
247,0.91509527
248,0.7293281
249,0.21925354
250,0.99963045
251,0.25051937
252,0.002871751
253,0.014335959
254,0.00093954545
255,0.9698378
256,0.00011813563
257,0.48327878
258,0.6298823
259,0.9923199
260,7.2998286e-5
261,0.060384814
262,0.99635077
263,0.10768105
264,0.00058487814
265,0.004348982
266,0.9978248
267,0.0017882541
268,0.00135728
269,0.9959014
270,0.99359953
271,0.017458363
272,0.011032695
273,0.99806565
274,0.99968505
275,0.43897837
276,0.84594643
277,0.0026711037
278,0.02741264
279,0.21010017
280,0.0003530594
281,0.00019456717
282,6.612809e-5
283,0.060708884
284,0.9852917
285,0.048520148
286,0.9974362
287,0.0009213072
288,0.0009912679
289,0.97867125
290,0.13076858
291,0.009614213
292,0.011092263
293,0.93234724
294,0.00039649394
295,0.0017275597
296,0.00014511317
297,0.99993086
298,0.00011874211
299,0.98367083
300,6.6273795e-5
301,0.001689676
302,0.99694914
303,0.0001618991
304,5.8713354e-6
305,0.015429283
306,0.03254845
307,0.0003804153
308,0.99694973
309,0.9817884
310,0.1353018
311,0.00031527545
312,0.00015685683
313,5.546491e-5
314,0.0002996675
315,0.9993647
316,0.5186208
317,0.67707115
318,0.92561793
319,0.0004570259
320,0.99485284
321,2.3806142e-5
322,0.32267696
323,0.99807537
324,0.9980933
325,0.001783296
326,0.84945846
327,0.99996173
328,0.00016948265
329,0.05842106
330,0.9848978
331,0.99231905
332,0.01856253
333,0.008974421
334,0.0053308425
335,0.7690789
336,0.056088053
337,0.017780123
338,0.99385625
339,0.14295582
340,0.9801691
341,0.87522274
342,0.00013386845
343,0.0035129937
344,0.99988985
345,0.43447542
346,0.6020029
347,0.17009404
348,0.99743575
349,0.880387
350,0.00012683339
351,0.9905138
352,0.99751854
353,0.924967
354,0.07639627
355,0.9926669
356,0.4334343
357,0.23106134
358,0.9991123
359,0.00013841527
